tree3	tree11	tree17	tree28	tree30	tree31	tree37	tree44	tree52	tree57	tree59	tree61	tree62	tree65	tree72	tree77	tree84	tree85
17.3735999735921	5.51687999161434	14.3865599781324	16.6725599746577	16.001999975677	27.7063199578864	6.24839999050243	8.22959998749101	4.20623999360652	16.3067999752137	16.0324799756306	13.685519979198	15.4838399764646	7.95527998790797	2.07263999684959	4.08431999379183	5.94359999096573	6.18743999059509
22.7685599653918	9.08303998619378	19.232879970766	23.7134399639556	22.0675199664574	34.0156799482962	10.1803199845259	10.3936799842016	7.25423998897355	21.549359967245	22.9209599651601	19.8729599697931	21.7017599670133	12.4967999810049	5.12063999221663	8.50391998707404	9.99743998480389	11.2471199829044
26.6699999594616	13.8379199789664	21.915119966689	27.6758399579327	26.8833599591373	38.9839199407444	17.4650399734531	13.594079979337	11.0642399831824	26.0603999603882	27.7672799577937	25.6641599609905	24.5668799626583	21.549359967245	8.93063998642543	14.1731999784567	14.6913599776691	18.3184799721559
28.8645599561259	17.6783999731288	22.8904799652065	31.6077599519562	31.6991999518172	43.3425599341193	21.3055199676156	15.6667199761866	14.1427199785031	28.9559999559869	30.2666399539947	30.5104799536241	29.7484799547823	28.8950399560795	17.4650399734531	18.5927999717389	18.9890399711367	25.7251199608978
31.6382399519099	19.049999971044	24.4449599628437	36.1797599450068	35.417759946165	46.3600799295327	25.2983999615464	18.8061599714146	17.9527199727119	30.9676799529291	35.4787199460723	33.9851999483425	31.9430399514466	32.278319950937	26.0299199604345	23.8353599637703	22.7990399653455	28.9864799559405
33.3146399493617	20.0253599695615	25.7555999608515	38.7400799411151	37.4294399431072	50.0786399238805	30.9371999529755	22.7380799654381	21.9760799665964	32.918399949964	38.191439941949	36.6369599443118	33.1317599496397	34.5947999474159	32.2478399509833	27.8891999576084	23.7439199639092	29.778959954736
36.3016799448214	21.2445599677083	28.5902399565428	43.1596799343973	40.0811999390766	53.1875999191548	34.9300799469063	26.2737599600639	26.8528799591836	36.3931199446825	41.3308799371771	40.4774399384743	35.1129599466283	37.0636799436632	38.5876799413467	33.0403199497787	25.7251199608978	31.8515999515856
38.1304799420417	22.7075999654844	29.961839954458	45.7199999305056	41.6051999367601	56.3575199143366	36.9417599438485	28.2549599570525	29.6570399549213	37.8866399424123	43.0682399345363	42.6110399352312	36.6064799443581	39.1363199405128	42.7024799350922	35.7225599457017	28.1939999571451	33.7108799487595
40.2335999388449	23.8658399637239	31.4553599521879	47.2439999281891	43.4949599338877	58.4606399111398	39.1972799404201	30.5714399535314	31.6687199518635	39.2582399403275	44.8665599318028	44.8970399317565	38.9229599408371	40.6603199381963	44.7446399319881	38.5571999413931	32.278319950937	34.5947999474159
42.3367199356482	25.4203199613611	32.8879199500104	49.5604799246681	45.5066399308299	60.7161599077114	41.6051999367601	33.0403199497787	33.4670399491301	42.2147999358335	47.0611199284671	47.1830399282818	40.873679937872	42.4281599355092	46.7258399289767	41.056559937594	30.2666399539947	36.3016799448214
48.2498399266602	27.0357599589056	34.4423999476476	51.6635999214713	47.3049599280965	62.9411999043294	43.5863999337487	35.4787199460723	35.509199946026	44.8055999318955	49.286159925085	48.8594399257337	42.6415199351849	44.1350399329147	48.0059999270309	42.8853599348142	33.6194399488984	37.8561599424586
